File,Seed,NN,DT,Hybrid
output_2807342_0.out,1,0.9690117252931323,0.9417922948073701,0.981574539363484
output_2807342_0.out,2,0.992462311557789,0.9522613065326633,0.9937185929648241
output_2807342_0.out,3,0.9727805695142379,0.9627303182579564,0.981574539363484
output_2807342_0.out,4,0.981574539363484,0.9518425460636516,0.983249581239531
output_2807342_0.out,5,0.97571189279732,0.9539363484087102,0.981574539363484
output_2807342_0.out,6,0.9794807370184254,0.9522613065326633,0.9861809045226131
output_2807342_0.out,7,0.9878559463986599,0.9459798994974874,0.990787269681742
output_2807342_0.out,8,0.9857621440536013,0.9489112227805695,0.9874371859296482
output_2807342_0.out,9,0.974036850921273,0.945142378559464,0.9807370184254607
output_2807342_0.out,10,0.9723618090452262,0.9195979899497487,0.9719430485762144
output_2807342_0.out,11,0.9719430485762144,0.9376046901172529,0.9803182579564489
output_2807342_0.out,12,0.9614740368509213,0.9430485762144054,0.9652428810720268
output_2807342_1.out,1,0.9719430485762144,0.9350921273031826,0.9723618090452262
output_2807342_1.out,2,0.9685929648241206,0.9350921273031826,0.9715242881072027
output_2807342_1.out,3,0.9681742043551089,0.9514237855946399,0.9744556113902848
output_2807342_1.out,4,0.9782244556113903,0.9438860971524288,0.9840871021775545
output_2807342_1.out,5,0.9786432160804021,0.9443048576214406,0.9865996649916248
output_2807342_1.out,6,0.9627303182579564,0.9321608040201005,0.9769681742043551
output_2807342_1.out,7,0.974036850921273,0.9484924623115578,0.9798994974874372
output_2807342_1.out,8,0.957286432160804,0.9304857621440537,0.9669179229480737
output_2807342_1.out,9,0.9744556113902848,0.9359296482412061,0.9819932998324958
output_2807342_1.out,10,0.9660804020100503,0.9350921273031826,0.9698492462311558
output_2807342_1.out,11,0.9782244556113903,0.9535175879396985,0.9853433835845896
output_2807342_1.out,12,0.9731993299832495,0.9476549413735343,0.983249581239531
output_2807342_2.out,1,0.9706867671691792,0.9468174204355109,0.9761306532663316
output_2807342_2.out,2,0.9698492462311558,0.961892797319933,0.9828308207705193
output_2807342_2.out,3,0.974036850921273,0.9296482412060302,0.974036850921273
output_2807342_2.out,4,0.9568676716917923,0.9279731993299832,0.9656616415410385
output_2807342_2.out,5,0.9694304857621441,0.9434673366834171,0.9706867671691792
output_2807342_2.out,6,0.9660804020100503,0.9614740368509213,0.9761306532663316
output_2807342_2.out,7,0.9748743718592965,0.9543551088777219,0.9803182579564489
output_2807342_2.out,8,0.9769681742043551,0.9309045226130653,0.97571189279732
output_2807342_2.out,9,0.9845058626465661,0.9593802345058626,0.9878559463986599
output_2807342_2.out,10,0.9849246231155779,0.948073701842546,0.9903685092127303
output_2807342_2.out,11,0.9731993299832495,0.9602177554438861,0.9786432160804021
output_2807342_2.out,12,0.9644053601340034,0.9225293132328308,0.9673366834170855
output_2807342_3.out,1,0.9786432160804021,0.9547738693467337,0.9819932998324958
output_2807342_3.out,2,0.9706867671691792,0.9309045226130653,0.9765494137353434
output_2807342_3.out,3,0.9731993299832495,0.9401172529313233,0.9773869346733668
output_2807342_3.out,4,0.9702680067001676,0.9631490787269682,0.9845058626465661
output_2807342_3.out,5,0.9761306532663316,0.9388609715242882,0.9786432160804021
output_2807342_3.out,6,0.9798994974874372,0.9522613065326633,0.9803182579564489
output_2807342_3.out,7,0.9723618090452262,0.9543551088777219,0.9798994974874372
output_2807342_3.out,8,0.9614740368509213,0.9547738693467337,0.97571189279732
output_2807342_3.out,9,0.9602177554438861,0.9338358458961474,0.9623115577889447
output_2807342_3.out,10,0.9845058626465661,0.9644053601340034,0.9891122278056952
output_2807342_3.out,11,0.9681742043551089,0.9413735343383585,0.9723618090452262
output_2807342_3.out,12,0.9694304857621441,0.9350921273031826,0.9769681742043551
